"Title (English)","Tender Type (English)","Core Activity (English)","Organization (English)","Organization Sub Department (English)","Tender Doc Purc Value","Published Date","Tender Open Days","Inquiry Deadline","Days Left to Send Inquiries","Bid Deadline Date and Time","Days left Until Bid Closing","Keyword (English)","keywords","Detail Url","Tender Type (Arabic)","Core Activity (Arabic)","Title (Arabic)"
"Developing an electronic transactions system with artificial intelligence","General competition","Information technology","Ground forces","Communications and Information Technology Authority for Land Forces - Committee for Providing Requirements","1500","2025-12-11",25,"2025-12-21",-7,"2026-01-04 @ 09:59",7,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qrouKlsLaeV1A9h32d249g==","منافسة عامة","تقنية المعلومات","تطوير نظام المعاملات الإلكترونية بالذكاء الاصطناعي"
"Artificial Intelligence Conference","General competition","Exhibition and conference activities","Saudi Data and Artificial Intelligence Authority","Saudi Data and Artificial Intelligence Authority","900","2025-12-10",32,"2026-01-06",9,"2026-01-10 @ 09:59",13,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=x45dhDg46e9JY%20bcoBgu*@@**Q==","منافسة عامة","أنشطة المعارض والمؤتمرات","مؤتمر الذكاء الاصطناعي"
"Renewing licenses and providing technical support for cloud systems solutions and network management technologies at the National Information Center...","General competition","Information technology","Saudi Data and Artificial Intelligence Authority","Saudi Data and Artificial Intelligence Authority","1000","2025-12-08",32,"2026-01-04",7,"2026-01-08 @ 09:59",11,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=04yztwFUgt6sSOl4%20zk1%20g==","منافسة عامة","تقنية المعلومات","تجديد التراخيص وتقديم الدعم الفني لحلول الأنظمة السحابية وتقنيات إدارة الشبكات بمركز المعلومات الوطن ..."
"Providing an artificial intelligence service to record medical consultations for the hospitals of the first Riyadh Health Cluster","General competition","Information technology","King Saud Medical City","Non-medical purchases","800","2025-12-02",28,"2025-12-22",-6,"2025-12-29 @ 10:00",1,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Ikqg385YgdzIPEad0*@@**xilg==","منافسة عامة","تقنية المعلومات","توفير خدمة تعمل بالذكاء الأصطناعى لتدوين الإستشارات الطبية لمستشفيات تجمع الرياض الصحي الأول"
"A project to address traffic congestion in the female student sections’ parking lots on the West Campus","General competition","General construction contracting (construction and building of public facilities) - general construction","Imam Abdul Rahman bin Faisal University","General Administration of Procurement and Tenders - University","600","2025-12-18",24,"2026-01-04",7,"2026-01-10 @ 14:00",13,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Ib9aYF2VY1pEDyMzM3G0AA==","منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة","مشروع معالجة الاختناقات المرورية لمواقف أقسام الطالبات بالحرم الغربي"
"A project of gardens, squares and pedestrian walkways in the city of Qaisumah","General competition","General construction contracting (construction and construction of public facilities) - road construction","Qaisumah Municipality","Hafr Al-Batin Governorate Municipality - Qaisumah Municipality","6000","2025-12-18",18,"2025-12-29",1,"2026-01-04 @ 10:00",7,"intersection","تقاطع","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Av3ttDwAXe6ebYyBaTl5Nw==","منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق","مشروع حدائق وساحات وممرات مشاة في مدينة القيصومة"
"Traffic intersection treatment project in Qaisumah city","General competition","General construction contracting (construction and construction of public facilities) - road construction","Qaisumah Municipality","Hafr Al-Batin Governorate Municipality - Qaisumah Municipality","6000","2025-12-18",18,"2025-12-23",-5,"2026-01-04 @ 10:00",7,"intersection","تقاطع","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1Y4iVmuugF%20AlE1jgR%20KqA==","منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق","مشروع معالجة التقاطعات المرورية في مدينة القيصومة"
"A rapid response project for traffic treatment on Al-Deajan Road","General competition","General contracting for buildings (construction, repair, demolition, restoration)","Hail Region Municipality","Hail competitions","1000","2025-12-17",32,"2025-12-27",-1,"2026-01-17 @ 09:59",20,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MGBDcmb8YaNhnrm8CtmNow==","منافسة عامة","مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)","مشروع استجابة سريعة للمعالجات المرورية بطريق الديعجان"
"Security and traffic guard services for King Fahad University Hospital in Al-Khobar, residential complexes, and the College of Dentistry...","General competition","Operation, maintenance and cleaning of facilities - operation and maintenance","Imam Abdul Rahman bin Faisal University","General Administration of Procurement and Tenders - University","800","2025-12-17",32,"2025-12-27",-1,"2026-01-17 @ 09:59",20,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=L3HrsoyFn2IWhpybwJvZ7Q==","منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة","خدمات الحراسة الأمنية والمرورية لمستشفى الملك فهد الجامعي بالخبر والمجمعات السكنية وكلية طب الأسنان ..."
"Security and traffic guard services for Imam Abdul Rahman bin Faisal University Hospital and its annexes at the Medical City...","General competition","Operation, maintenance and cleaning of facilities - operation and maintenance","Imam Abdul Rahman bin Faisal University","General Administration of Procurement and Tenders - University","800","2025-12-17",32,"2025-12-27",-1,"2026-01-17 @ 09:59",20,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fTs9SEX70NidUav1%20vApzw==","منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة","خدمات الحراسة الأمنية والمرورية لمستشفى جامعة الإمام عبد الرحمن بن فيصل وملحقاتها بالمدينة الطبية ال ..."
"Providing spare parts and repairing traffic accidents for the machinery of the Eastern Region Directorate and its affiliated departments and a thousand...","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","200","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KKotZoyklNObcTmTsb4Z2Q==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ..."
"Providing spare parts and repairing traffic accidents for the machinery of the Eastern Region Directorate and its affiliated departments and a thousand...","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","Free","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=5WNHEhWXygaHDi4%203mab3Q==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ..."
"Providing spare parts and repairing traffic accidents for the machinery of the Eastern Region Directorate and its affiliated departments and a thousand...","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","Free","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vBhIvVNfjb*@@**TgttolIXeuQ==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ..."
"Providing spare parts and repairing traffic accident vehicles belonging to the Eastern Region Directorate and its affiliated departments and...","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","200","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=G2EVVHznp8RFJOVnmdRVEA==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الاليات لتابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ..."
"Providing spare parts and repairing traffic accidents for the machinery of the Eastern Region Directorate and its affiliated departments and a thousand...","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","Free","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=jkcfXkQS2Sq8LdB7Uh*@@**i6A==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ..."
"Providing spare parts and repairing traffic accidents for the machinery of the Eastern Region Directorate and its affiliated departments and a thousand...","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","Free","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lXk91b3TH7J32HKBO3UUUg==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ..."
"Providing spare parts and repairing a traffic accident, the vehicle affiliated with the Eastern Region Directorate, DM 25 62 0235","Direct purchase","New spare parts trading","Central Technical Affairs Administration in the Eastern Region","Central Technical Affairs Administration in the Eastern Region","Free","2025-12-25",7,"2025-12-29",1,"2025-12-31 @ 09:59",3,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=xO*@@**PdOmGRF0NLfX6QyJ*@@**lA==","شراء مباشر","تجارة قطع الغيار الجديدة","تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية DM 25 62 0235"
"Maintaining and raising the efficiency of traffic intersections in Abqaiq Governorate - Abqaiq Governorate Municipality","General competition","Operation, maintenance and cleaning of facilities - operation and maintenance of roads","Abqaiq Governorate Municipality","Abqaiq Governorate Municipality","1500","2025-12-15",21,"2025-12-30",2,"2026-01-04 @ 18:00",7,"intersection","تقاطع","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vOYtz%20O9*@@**p0SmGTvU3tMPg==","منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق","صيانة ورفع كفاءة التقاطعات المروريه بمحافظة بقيق _ بلدية محافظة بقيق"
"An advertisement in a newspaper about the sale of vehicles and bicycles impounded by the Eastern Province Traffic Department (Jubail)","Direct purchase","Publishing, printing, advertising and artistic production services","Public Security (General Traffic Department)","General Traffic Department","200","2025-11-30",38,"2026-01-05",8,"2026-01-06 @ 08:00",9,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=E09tQiuYNFxU3XmgQqU6yw==","شراء مباشر","خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني","إعلان في صحيفة عن بيع مركبات ودراجات محجوزة بإدارة مرور منطقة الشرقية (الجبيل)"
"An advertisement in a newspaper about the sale of bikes seized at the Traffic Department in the Medina Region (Yanbu)","Direct purchase","Publishing, printing, advertising and artistic production services","Public Security (General Traffic Department)","General Traffic Department","200","2025-11-25",43,"2026-01-05",8,"2026-01-06 @ 08:00",9,"traffic","مرور","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7buuK3la1r%20gJj4yl7m8Cg==","شراء مباشر","خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني","إعلان في صحيفة عن بيع دراجات محجوزة بإدارة مرور منطقة المدينة المنورة (ينبع)"
"Renewing the e-learning platform","General competition","Information technology","Decision support centre","Decision support centre","1500","2025-12-25",18,"2026-01-04",7,"2026-01-11 @ 09:59",14,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MRouye5bamI3xin318EtbQ==","منافسة عامة","تقنية المعلومات","تجديد منصة التعلم الالكترونية"
"Renewal of the software algorithm analysis platform","General competition","Information technology","Saudi Water Authority","Purchasing Department - Services and Projects Purchasing Department","1000","2025-12-25",17,"2026-01-04",7,"2026-01-10 @ 09:59",13,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=V1xhVsalaotT7oQ5iIgEgQ==","منافسة عامة","تقنية المعلومات","تجديد منصة تحليل الخوارزميات البرمجية"
"Identity management system development project and unified integration platform","General competition","Information technology","Saudi Electronic University","Contracts and procurement management","1000","2025-12-24",21,"2026-01-11",14,"2026-01-13 @ 10:00",16,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1Jaju8szM85Vqd%20pD1EqUg==","منافسة عامة","تقنية المعلومات","مشروع تطوير نظام إدارة الهوية ومنصة التكامل الموحدة"
"Activating the risk-weighted assets system license and providing technical support for the two expected credit loss calculator licenses...","General competition","Financial consulting activities","Tourism Development Fund","Headquarters","1000","2025-12-22",17,"2026-01-01",4,"2026-01-07 @ 09:59",10,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=48L7n9D5piQ6g09NSbmSEw==","منافسة عامة","انشطة الاستشارات المالية","تفعيل رخصة نظام الاصول المرجحة بالمخاطر وتقديم الدعم الفني لرخصتي حاسبة الخسائر الائتمانية المتوقعة ..."
"Providing a subscription to the digital risk protection platform","Direct purchase","Information technology","General Authority for Transport","Purchasing and contracts management","200","2025-12-17",14,"2025-12-23",-5,"2025-12-30 @ 09:59",2,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6*@@**cIvVaGGmJ00ERjPBZQQw==","شراء مباشر","تقنية المعلومات","توفير اشتراك في منصة الحماية من المخاطر الرقمية"
"Providing technical support for the content storage and management platform for the courts of appeal","General competition","Information technology","Ministry of Justice","General Office - Purchasing and Contracts Department","1000","2025-12-15",32,"2026-01-04",7,"2026-01-15 @ 09:59",18,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=I%20Id0lAlX*@@**luh%20x7R25I%20g==","منافسة عامة","تقنية المعلومات","تقديم الدعم الفني لمنصة تخزين وإدارة المحتوى لمحاكم الاستئناف"
"KR1177 Supply of laboratory reagents to establish a national platform for health human microbiome data in the Kingdom of Saudi Arabia...","Direct purchase","Medical activities","King Saud bin Abdulaziz University for Health Sciences","Direct Purchasing Department at King Saud University for Health Sciences","200","2025-12-15",16,"2025-12-25",-3,"2025-12-30 @ 09:59",2,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qt2uL2RGXynfCRjV%20imEjg==","شراء مباشر","الأنشطة الطبية","KR1177 توريد كواشف مخبرية لإنشاء منصة وطنية لبيانات الميكروبيوم البشري الصحي في المملكة العربية السع ..."
"Operating and maintaining the alternative tourism data platform","General competition","Information technology","Ministry of Tourism","General Administration of Purchases and Contracts","500","2025-12-10",26,"2025-12-26",-2,"2026-01-04 @ 12:00",7,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6GJqshbTzRsC52KvZMHbDg==","منافسة عامة","تقنية المعلومات","تشغيل وصيانة منصة البيانات السياحية البديلة"
"Activating the mechanism for approving new plans","General competition","Commercial and administrative services","Infrastructure projects center in the Riyadh region","Infrastructure projects center in the Riyadh region","1000","2025-12-08",32,"2025-12-21",-7,"2026-01-08 @ 09:59",11,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sjJsNdjpKmO1dq97Z07GpA==","منافسة عامة","الخدمات التجارية و الإدارية","تشغيل ألية اعتماد المخططات الجديدة"
"A project to create a unified data management platform that includes the data warehouse, data lake, and business intelligence at Gazza...","General competition","Information technology","Jazan Health Complex","Competitions and contracts","1000","2025-12-08",32,"2026-01-07",10,"2026-01-08 @ 07:00",11,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=mHuwua36wwFsQ2i2XDq9EA==","منافسة عامة","تقنية المعلومات","مشروع إنشاء منصة موحدة لإدارة البيانات يشمل مستودع البيانات وبحيرة البيانات وذكاء الأعمال بتجمع جازا ..."
"Competition to provide modern servers for the Najran Health Cluster’s care model platform","General competition","Information technology","Najran Health Complex","Contracts and procurement management","600","2025-11-17",43,"2025-12-28",0,"2025-12-29 @ 10:00",1,"platform","منصة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sDSy7DMhp%20fxqSLd*@@**VZ1NA==","منافسة عامة","تقنية المعلومات","منافسة توفير سيرفرات حديثة لمنصة نموذج الرعاية بتجمع نجران الصحي"
"Supplying a computer to the Marine Supply Center in the Eastern Fleet","Direct purchase","Trading in tools, machines and devices","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-25",7,"2025-12-26",-2,"2025-12-31 @ 09:59",3,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8IC*@@**peFKjWlhbUci3lTHcw==","شراء مباشر","تجارة الأدوات والآلات والأجهزة","توريد جهاز كمبيوتر لمركز التموين البحري بالاسطول الشرقي"
"Supplying party and hospitality supplies to the marine supply center in the eastern fleet","Direct purchase","Trading in tools, machines and devices","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-25",7,"2025-12-26",-2,"2025-12-31 @ 09:59",3,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=e26Y9QxOV4T60YsJdVWciw==","شراء مباشر","تجارة الأدوات والآلات والأجهزة","توريد مستلزمات حفلات وضيافة لمركز التموين البحري بالاسطولا لشرقي"
"Supplying spare parts for His Majesty the King’s ships to the Eastern Fleet Marine Supply Center","Direct purchase","New spare parts trading","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-25",7,"2025-12-26",-2,"2025-12-31 @ 09:59",3,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vfT33w7gVn7HaVMSFl5fxQ==","شراء مباشر","تجارة قطع الغيار الجديدة","توريد قطع غيار لسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي"
"Supplying spare parts for His Majesty the King’s ships to the Eastern Fleet Marine Supply Center","Direct purchase","Trading in tools, machines and devices","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-25",7,"2025-12-26",-2,"2025-12-31 @ 09:59",3,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=WCxx3FkVWwCc4bEtoB0IVw==","شراء مباشر","تجارة الأدوات والآلات والأجهزة","توريد قطع غيار لسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي"
"Supplying fire-resistant and electrical suits for the Marine Supply Center in the Eastern Fleet","Direct purchase","Trading in tools, machines and devices","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-25",7,"2025-12-26",-2,"2025-12-31 @ 09:59",3,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=bDHr5wzW4ObHXE7IOH8q9w==","شراء مباشر","تجارة الأدوات والآلات والأجهزة","توريد بدل مقاومه للحريق والكهرباء لمركز التموين البحري بالاسطول الشرقي"
"Supplying spare parts for His Majesty the King’s ships to the Marine Supply Center in the Eastern Fleet","Direct purchase","New spare parts trading","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-23",7,"2025-12-27",-1,"2025-12-29 @ 09:59",1,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7OQYzO6Vdnub5Kc6em8HwQ==","شراء مباشر","تجارة قطع الغيار الجديدة","توريد قطع غيار لسفن جلاله الملك لمركز التموين البحري بالاسطول الشرقي"
"Supplying sandblasting granules for His Majesty the King’s ships to the Marine Supply Center in the Eastern Fleet","Direct purchase","New spare parts trading","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-23",7,"2025-12-27",-1,"2025-12-29 @ 09:59",1,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=NteV3odwbVwN8LzaPfsMBA==","شراء مباشر","تجارة قطع الغيار الجديدة","توريد حبيبات السفع الرملي لسفن جلاله الملك لمركز التموين البحري بالاسطول الشرقي"
"Supplying ship crew training supplies to the Eastern Fleet Marine Supply Center","Direct purchase","Trading in tools, machines and devices","Navy","Marine Supply Center in the Eastern Fleet","200","2025-12-23",7,"2025-12-24",-4,"2025-12-29 @ 09:59",1,"fleet","اسطول","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=C8bl8aGDaqV5Qg6SO%203Egw==","شراء مباشر","تجارة الأدوات والآلات والأجهزة","توريد مستلزمات تدريب اطقم السفن لمركز التموين البحري بالاسطول الشرقي"
"Strengthening the network signal of the mobile network","Direct purchase","Communications","Public Health Authority","Public Health Authority","200","2025-12-21",12,"2025-12-26",-2,"2026-01-01 @ 09:59",4,"signal","اشارة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KSrtb1OkfC0ndhzpRQ*@@**6nw==","شراء مباشر","الإتصالات","تقوية اشارة الشبكة الخاصة بشبكة المحمول"
"Paving, lighting and landscaping inside the housing wall","Direct purchase","Operation, maintenance and cleaning of facilities - operation and maintenance","Medina Hospital","Purchasing and contracts management","200","2025-12-26",6,"2025-12-29",1,"2025-12-31 @ 09:59",3,"lighting","انارة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=d5BcVv2*@@**M1wfPrnSMWj1TA==","شراء مباشر","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة","ترصيف وانارة وتشجير داخل سور الاسكان"
"An asphalt, sidewalks and lighting project in the city of Qaisumah","General competition","General construction contracting (construction and construction of public facilities) - road construction","Qaisumah Municipality","Hafr Al-Batin Governorate Municipality - Qaisumah Municipality","6000","2025-12-18",18,"2025-12-23",-5,"2026-01-04 @ 10:00",7,"lighting","انارة","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=hYftmRnk173e8Lkj42WxFg==","منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق","مشروع سفلتة وأرصفة وانارة في مدينة القيصومة"
