"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays","tenderType","coreActivities"
"تجديد التراخيص وتقديم الدعم الفني لحلول الأنظمة السحابية وتقنيات إدارة الشبكات بمركز المعلومات الوطن ...","الهيئة السعودية للبيانات والذكاء الاصطناعي","الهيئة السعودية للبيانات والذكاء الاصطناعي","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=04yztwFUgt6sSOl4%20zk1%20g==","2026-01-04","2026-01-08","09:59",11,7,"الذكاء","intelligence",32,"منافسة عامة","تقنية المعلومات"
"توفير خدمة تعمل بالذكاء الأصطناعى لتدوين الإستشارات الطبية لمستشفيات تجمع الرياض الصحي الأول","مدينة الملك سعود الطبية","المشتريات الغير طبية","800","2025-12-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Ikqg385YgdzIPEad0*@@**xilg==","2025-12-22","2025-12-29","10:00",1,-6,"الذكاء","intelligence",28,"منافسة عامة","تقنية المعلومات"
"مشروع معالجة الاختناقات المرورية لمواقف أقسام الطالبات بالحرم الغربي","جامعة الإمام عبدالرحمن بن فيصل","الادارة العامة للمشتريات والمناقصات  -  الجامعة","600","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Ib9aYF2VY1pEDyMzM3G0AA==","2026-01-04","2026-01-10","14:00",13,7,"مرور","traffic",24,"منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة"
"مشروع حدائق وساحات وممرات مشاة في مدينة القيصومة","بلدية القيصومة","أمانة محافظة حفرالباطن  -  بلدية القيصومة","6000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Av3ttDwAXe6ebYyBaTl5Nw==","2025-12-29","2026-01-04","10:00",7,1,"تقاطع","intersection",18,"منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق"
"مشروع معالجة التقاطعات المرورية في مدينة القيصومة","بلدية القيصومة","أمانة محافظة حفرالباطن  -  بلدية القيصومة","6000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1Y4iVmuugF%20AlE1jgR%20KqA==","2025-12-23","2026-01-04","10:00",7,-5,"تقاطع","intersection",18,"منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق"
"مشروع استجابة سريعة للمعالجات المرورية بطريق الديعجان","أمانة منطقة حائل","منافسات حايل","1000","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MGBDcmb8YaNhnrm8CtmNow==","2025-12-27","2026-01-17","09:59",20,-1,"مرور","traffic",32,"منافسة عامة","مقاولات عامة للمباني (الانشاء، الإصلاح، الهدم، الترميم)"
"خدمات الحراسة الأمنية والمرورية لمستشفى الملك فهد الجامعي بالخبر والمجمعات السكنية وكلية طب الأسنان ...","جامعة الإمام عبدالرحمن بن فيصل","الادارة العامة للمشتريات والمناقصات  -  الجامعة","800","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=L3HrsoyFn2IWhpybwJvZ7Q==","2025-12-27","2026-01-17","09:59",20,-1,"مرور","traffic",32,"منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة"
"خدمات الحراسة الأمنية والمرورية لمستشفى جامعة الإمام عبد الرحمن بن فيصل وملحقاتها بالمدينة الطبية ال ...","جامعة الإمام عبدالرحمن بن فيصل","الادارة العامة للمشتريات والمناقصات  -  الجامعة","800","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fTs9SEX70NidUav1%20vApzw==","2025-12-27","2026-01-17","09:59",20,-1,"مرور","traffic",32,"منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة"
"تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ...","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KKotZoyklNObcTmTsb4Z2Q==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ...","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","Free","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=5WNHEhWXygaHDi4%203mab3Q==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ...","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","Free","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vBhIvVNfjb*@@**TgttolIXeuQ==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"تأمين قطع غيار و إصلاح حادث مروري الاليات لتابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ...","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=G2EVVHznp8RFJOVnmdRVEA==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ...","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","Free","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=jkcfXkQS2Sq8LdB7Uh*@@**i6A==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية والإدارات التابعة لها و الف ...","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","Free","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lXk91b3TH7J32HKBO3UUUg==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"تأمين قطع غيار و إصلاح حادث مروري الالية التابعة لمديرية المنطقة الشرقية DM 25 62 0235","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","ادارة الشؤون الفنية المركزية بالمنطقة الشرقية","Free","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=xO*@@**PdOmGRF0NLfX6QyJ*@@**lA==","2025-12-29","2025-12-31","09:59",3,1,"مرور","traffic",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"صيانة ورفع كفاءة التقاطعات المروريه بمحافظة بقيق _ بلدية محافظة بقيق","بلدية محافظة بقيق","بلدية محافظة بقيق","1500","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vOYtz%20O9*@@**p0SmGTvU3tMPg==","2025-12-30","2026-01-04","18:00",7,2,"تقاطع","intersection",21,"منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق"
"إعلان في صحيفة عن بيع مركبات ودراجات محجوزة بإدارة مرور منطقة الشرقية (الجبيل)","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-11-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=E09tQiuYNFxU3XmgQqU6yw==","2026-01-05","2026-01-06","08:00",9,8,"مرور","traffic",38,"شراء مباشر","خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني"
"إعلان في صحيفة عن بيع دراجات محجوزة بإدارة مرور منطقة المدينة المنورة (ينبع)","الأمن العام ( الإدارة العامة للمرور)","الإدارة العامة للمرور","200","2025-11-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7buuK3la1r%20gJj4yl7m8Cg==","2026-01-05","2026-01-06","08:00",9,8,"مرور","traffic",43,"شراء مباشر","خدمات النشر والطباعة والدعاية والاعلان والإنتاج الفني"
"تجديد منصة التعلم الالكترونية","مركز دعم اتخاذ القرار","مركز دعم اتخاذ القرار","1500","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MRouye5bamI3xin318EtbQ==","2026-01-04","2026-01-11","09:59",14,7,"منصة","platform",18,"منافسة عامة","تقنية المعلومات"
"تجديد منصة تحليل الخوارزميات البرمجية","الهيئة السعودية للمياه","ادارة الشراء  -  قسم مشتريات الخدمات والمشاريع","1000","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=V1xhVsalaotT7oQ5iIgEgQ==","2026-01-04","2026-01-10","09:59",13,7,"منصة","platform",17,"منافسة عامة","تقنية المعلومات"
"مشروع تطوير نظام إدارة الهوية ومنصة التكامل الموحدة","الجامعة السعودية الالكترونية","إدارة العقود والمشتريات","1000","2025-12-24","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1Jaju8szM85Vqd%20pD1EqUg==","2026-01-11","2026-01-13","10:00",16,14,"منصة","platform",21,"منافسة عامة","تقنية المعلومات"
"تفعيل رخصة نظام الاصول المرجحة بالمخاطر وتقديم الدعم الفني لرخصتي حاسبة الخسائر الائتمانية المتوقعة ...","صندوق التنمية السياحي","المقر الرئيسي","1000","2025-12-22","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=48L7n9D5piQ6g09NSbmSEw==","2026-01-01","2026-01-07","09:59",10,4,"منصة","platform",17,"منافسة عامة","انشطة الاستشارات المالية"
"توفير اشتراك في منصة الحماية من المخاطر الرقمية","الهيئة العامة للنقل","إدارة المشتريات والعقود","200","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6*@@**cIvVaGGmJ00ERjPBZQQw==","2025-12-23","2025-12-30","09:59",2,-5,"منصة","platform",14,"شراء مباشر","تقنية المعلومات"
"تقديم الدعم الفني لمنصة تخزين وإدارة المحتوى لمحاكم الاستئناف","وزارة العدل","الديوان العام  -  إدارة المشتريات والعقود","1000","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=I%20Id0lAlX*@@**luh%20x7R25I%20g==","2026-01-04","2026-01-15","09:59",18,7,"منصة","platform",32,"منافسة عامة","تقنية المعلومات"
"KR1177 توريد كواشف مخبرية لإنشاء منصة وطنية لبيانات الميكروبيوم البشري الصحي في المملكة العربية السع ...","جامعة الملك سعود بن عبد العزیز للعلوم الصحیة","ادارة الشراء المباشر بجامعة الملك سعود للعلوم الصحية","200","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qt2uL2RGXynfCRjV%20imEjg==","2025-12-25","2025-12-30","09:59",2,-3,"منصة","platform",16,"شراء مباشر","الأنشطة الطبية"
"تشغيل وصيانة منصة البيانات السياحية البديلة","وزارة السياحة","الإدارة العامة للمشتريات والعقود","500","2025-12-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6GJqshbTzRsC52KvZMHbDg==","2025-12-26","2026-01-04","12:00",7,-2,"منصة","platform",26,"منافسة عامة","تقنية المعلومات"
"تشغيل ألية اعتماد المخططات الجديدة","مركز مشاريع البنية التحتية بمنطقة الرياض","مركز مشاريع البنية التحتية بمنطقة الرياض","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sjJsNdjpKmO1dq97Z07GpA==","2025-12-21","2026-01-08","09:59",11,-7,"منصة","platform",32,"منافسة عامة","الخدمات التجارية و الإدارية"
"مشروع إنشاء منصة موحدة لإدارة البيانات يشمل مستودع البيانات وبحيرة البيانات وذكاء الأعمال بتجمع جازا ...","تجمع جازان الصحي","المنافسات والعقود","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=mHuwua36wwFsQ2i2XDq9EA==","2026-01-07","2026-01-08","07:00",11,10,"منصة","platform",32,"منافسة عامة","تقنية المعلومات"
"منافسة توفير سيرفرات حديثة لمنصة نموذج الرعاية بتجمع نجران الصحي","تجمع نجران الصحي","ادارة العقود والمشتريات","600","2025-11-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sDSy7DMhp%20fxqSLd*@@**VZ1NA==","2025-12-28","2025-12-29","10:00",1,0,"منصة","platform",43,"منافسة عامة","تقنية المعلومات"
"توريد جهاز كمبيوتر لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8IC*@@**peFKjWlhbUci3lTHcw==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7,"شراء مباشر","تجارة الأدوات والآلات والأجهزة"
"توريد مستلزمات حفلات وضيافة لمركز التموين البحري بالاسطولا لشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=e26Y9QxOV4T60YsJdVWciw==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7,"شراء مباشر","تجارة الأدوات والآلات والأجهزة"
"توريد قطع غيار لسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vfT33w7gVn7HaVMSFl5fxQ==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"توريد قطع غيار لسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=WCxx3FkVWwCc4bEtoB0IVw==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7,"شراء مباشر","تجارة الأدوات والآلات والأجهزة"
"توريد بدل مقاومه للحريق والكهرباء لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=bDHr5wzW4ObHXE7IOH8q9w==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7,"شراء مباشر","تجارة الأدوات والآلات والأجهزة"
"توريد قطع غيار لسفن جلاله الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7OQYzO6Vdnub5Kc6em8HwQ==","2025-12-27","2025-12-29","09:59",1,-1,"اسطول","fleet",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"توريد حبيبات السفع الرملي لسفن جلاله الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=NteV3odwbVwN8LzaPfsMBA==","2025-12-27","2025-12-29","09:59",1,-1,"اسطول","fleet",7,"شراء مباشر","تجارة قطع الغيار الجديدة"
"توريد مستلزمات تدريب اطقم السفن لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=C8bl8aGDaqV5Qg6SO%203Egw==","2025-12-24","2025-12-29","09:59",1,-4,"اسطول","fleet",7,"شراء مباشر","تجارة الأدوات والآلات والأجهزة"
"تقوية اشارة الشبكة الخاصة بشبكة المحمول","هيئة الصحة العامة","هيئة الصحة العامة","200","2025-12-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KSrtb1OkfC0ndhzpRQ*@@**6nw==","2025-12-26","2026-01-01","09:59",4,-2,"اشارة","signal",12,"شراء مباشر","الإتصالات"
"ترصيف وانارة وتشجير داخل سور الاسكان","مستشفى المدينة المنورة","إدارة المشتريات والعقود","200","2025-12-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=d5BcVv2*@@**M1wfPrnSMWj1TA==","2025-12-29","2025-12-31","09:59",3,1,"انارة","lighting",6,"شراء مباشر","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة"
"مشروع سفلتة وأرصفة وانارة في مدينة القيصومة","بلدية القيصومة","أمانة محافظة حفرالباطن  -  بلدية القيصومة","6000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=hYftmRnk173e8Lkj42WxFg==","2025-12-23","2026-01-04","10:00",7,-5,"انارة","lighting",18,"منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق"
"اعمال صيانة الشوارع والارصفة والانارة بحوطة سدير والمراكز التابعه لها","أمانة منطقة الرياض","بلدية حوطة سدير","1000","2025-12-16","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VTtlT2MCCZI14GmudrritQ==","2025-12-26","2026-01-07","09:59",10,-2,"انارة","lighting",23,"منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق"
"مشروع صيانة البنية التحتية لأعمال الانارة لطرق النقل المستلمة من وزارة النقل ـ طريق الملك سعود (القش ...","أمانة المنطقة الشرقية","إدارة المشتريات للمنافسات العامة لأمانة المنطقة الشرقية","1500","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7YFuFQ70LICKW01dAGEYYw==","2025-12-23","2025-12-29","20:00",1,-5,"انارة","lighting",22,"منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة"
"معالجة المنحدرات بالمداخل و المخارج المتقاطعة مع الطريق الدائري الرابع بمكة المكرمة","أمانة العاصمة المقدسة","ادارة المشتريات","1000","2025-12-24","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=JPyqZQWuIBc3lLB%20i9j%20Xw==","2026-01-03","2026-01-09","09:59",12,6,"تقاطع","intersection",17,"منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق"
"مشروع الصيانة الطارئة لإصلاح جسر طريق أبوبكر الصديق تقاطع طريق الملك عبد الله DA 8","أمانة المنطقة الشرقية","إدارة المشتريات للمنافسات العامة لأمانة المنطقة الشرقية","1500","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8bN6ayLg1VfCyUMMjxeAMg==","2025-12-28","2026-01-14","20:00",17,0,"تقاطع","intersection",31,"منافسة عامة","التشغيل والصيانة والنظافة للمنشآت - التشغيل وصيانة الطرق"
"صيانة الأجزاء المتهالكة من الطبقة الإسفلتية للطرق المتقاطعة مع طريق الملك عبدالعزيز","أمانة منطقة الرياض","بلدية محافظة الرين","2500","2025-12-14","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=pEDPV9tpyY%20XdTzcTJvyEQ==","2025-12-28","2026-01-01","10:00",4,0,"تقاطع","intersection",19,"منافسة عامة","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة) - إنشاء الطرق"
