"Title (English Translation)","Organization (English Translation)","Organization Sub Department (English Translation)","Tender Value","Published Date","Inquiry Deadline","Days Left to Send Inquiries","Bid Deadline Date and Time","Days left Until Bid Closing","Keyword (English Translation)","Detail Url","Title (Arabic)","keywords"
"Data and artificial intelligence strategy","Insurance Authority","Purchases","1000","2025-11-06","2025-11-16",-1,"2025-11-22 @ 09:59",5,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=HBDL29srPkrF0zEH5oyGpA==","أستراتيجية البيانات والذكاء الاصطناعي","الذكاء"
"Preparing and supplying technical requirements for secure visual communication (Brouk)","National Health Insurance Center","National Health Insurance Center","1000","2025-10-29","2025-11-17",0,"2025-11-19 @ 10:00",2,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=di7WzaBQyFYkXuwaVLh1FA==","اعداد وتوريد المتطلبات التقنية للاتصال المرئي الآمن (بروق)","منصة"
"Renewing, providing and installing licenses supporting data management and governance tools","Saudi Standards, Metrology and Quality Organization","Managing competitions and contracts","1500","2025-10-29","2025-11-05",-12,"2025-11-18 @ 09:59",1,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Dzs25p32FeWrDf4itArC1w==","تجديد وتوفير وتركيب الرخص الداعمة لأدوات إدارة وحوكمة البيانات","الذكاء"
"Expansion and renovation of storage systems - the third phase","Saudi Data and Artificial Intelligence Authority","Saudi Data and Artificial Intelligence Authority","1000","2025-10-20","2025-11-16",-1,"2025-11-20 @ 09:59",3,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=0BZLROSu3uD13ovcZQ8NpQ==","توسعة وتجديد أنظمة التخزين - المرحلة الثالثة","الذكاء"
"Text messaging and digital connectivity project with service providers - second phase","Saudi Data and Artificial Intelligence Authority","Saudi Data and Artificial Intelligence Authority","1000","2025-10-19","2025-11-15",-2,"2025-11-20 @ 10:00",3,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8SIfIleQW0Xa51gnN*@@**zEvg==","مشروع الرسائل النصية والربط الرقمي مع مزودي الخدمة - المرحلة الثانية","الذكاء"
"Artificial intelligence applications and emerging technologies in the waste sector","National Center for Waste Management","National Center for Waste Management","1000","2025-10-16","2025-11-11",-6,"2025-11-19 @ 10:00",2,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MnUBfv7s4HN2QcWHHmdexw==","تطبيقات الذكاء الاصطناعي والتقنيات الناشئة في قطاع النفايات","الذكاء"
"Increasing traffic safety efficiency in Al Majmaah","Riyadh Municipality","Municipality of Al Majma'ah Governorate","1000","2025-11-13","2025-11-27",10,"2025-11-29 @ 09:59",12,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=EgEHeT2wZNvrGIgsqTQPXw==","رفع كفاءة السلامة المرورية بالمجمعة","مرور"
"Supplying traffic equipment for engineering and works administration branches","Strategic Missile Force","Engineering management and works","700","2025-11-13","2025-11-23",6,"2025-12-01 @ 09:59",14,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BeufrB7CFNDLUHnffCJq3A==","توريد تجهيزات مرورية لأفرع الإدارة الهندسية والاشغال","مرور"
"Supply and installation of metal barriers for drains on agricultural roads for a number of sites affiliated with the General Irrigation Corporation in the Governorate of...","General Corporation for Irrigation","Al-Ahsa Branch","1500","2025-11-05","2025-11-15",-2,"2025-11-21 @ 09:59",4,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=aY*@@**fzIXXSZ*@@**HntOg5z9kXA==","توريد وتركيب حواجز معدنية للمصارف بالطرق الزراعية لعدد من المواقع التابعة للمؤسسة العامة للري بمحافظ ...","مرور"
"An announcement in a newspaper about the sale of impounded vehicles at the Eastern Province Traffic Department (Khafji)","Public Security (General Traffic Department)","General Traffic Department","200","2025-11-16","2025-11-20",3,"2025-11-22 @ 09:59",5,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FHB4%208%20PEeyuzLciws36MQ==","إعلان في صحيفة عن بيع مركبات محجوزة بإدارة مرور منطقة الشرقية (الخفجي)","مرور"
"Repair, maintenance and painting of iron barriers belonging to the Hail Region Traffic Department","Public Security (General Traffic Department)","General Traffic Department","200","2025-11-11","2025-11-15",-2,"2025-11-17 @ 09:59",0,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=R1fd7P7e%20j5zKV1z8%20Bo7w==","اصلاح وصيانة ودهان حواجز حديدية تابعة لإدارة مرور منطقة حائل","مرور"
"Providing sewage network cleaning services at Prince Mohammed bin Abdulaziz Hospital and the Primary Health Care Center in...","Health Affairs at the Ministry of National Guard","Tenders for Prince Muhammad bin Abdulaziz Hospital in Medina","700","2025-11-10","2025-11-24",7,"2025-12-07 @ 10:00",20,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=k*@@**J7TWQKm4fnv2aeTMO1mg==","تقديم خدمة تنظيف شبكات الصرف الصحي بمستشفى الأمير محمد بن عبدالعزيز ومركز الرعاية الصحية الأولية بال ...","مرور"
"Testing and operating an experimental station to study the effect of sterilizers on pipes made of high-quality polyethylene...","Saudi Water Authority","Purchasing Department - Services and Projects Purchasing Department","1000","2025-09-01","2025-11-16",-1,"2025-11-20 @ 10:00",3,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=33mopdlI152oDpJwplBXsw==","اختبار وتشغيل محطة تجريبية لدراسة أثر المعقمات على الانابيب المصنعة من مادة البولي ايثيلين عالي ال ...","مرور"
"Competition to provide modern servers for the Najran Health Cluster’s care model platform","Najran Health Complex","Contracts and procurement management","600","2025-11-17","2025-11-27",10,"2025-12-03 @ 09:59",16,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sDSy7DMhp%20fxqSLd*@@**VZ1NA==","منافسة توفير سيرفرات حديثة لمنصة نموذج الرعاية بتجمع نجران الصحي","منصة"
"Renewal of backup and data storage licenses for the year 2026","King Abdulaziz Reserve","King Abdulaziz Reserve","1000","2025-11-17","2025-11-27",10,"2025-12-03 @ 09:59",16,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ys55XN*@@**wnDFLebv24FFTvw==","تجديد رخص النسخ الاحتياطي وحفظ البيانات لعام 2026","منصة"
"Preparing the ceremony platform at the Prison Training Institute (25/26)","General Directorate of Prisons","General Administration of Competitions and Procurement","200","2025-11-13","2025-11-16",-1,"2025-11-19 @ 09:59",2,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VyoHeSEcPq7GqVmPnVEklw==","تجهيز منصة الحفل بمعهد تدريب السجون (25/26)","منصة"
"Developing the first phase of the digital diplomatic center","Ministry of Foreign Affairs","General Office - Purchases","1000","2025-11-13","2025-11-23",6,"2025-11-29 @ 09:59",12,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6xiFOEos89r8b%20W2AQCR1w==","تطوير المرحلة الأولى من المركز الدبلوماسي الرقمي","منصة"
"A project to produce 140 electronic training products","Institute of Public Administration","Purchasing management","3500","2025-11-12","2025-11-27",10,"2025-12-14 @ 10:20",27,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qf8RR*@@**aOPtzEEEow2mNFKw==","مشروع إنتاج 140 منتج تدريبي إلكتروني","منصة"
"Technical periodic operation and process governance","Saudi Water Authority","Purchasing Department - Services and Projects Purchasing Department","1000","2025-11-12","2025-11-22",5,"2025-11-30 @ 10:00",13,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FuVWz3F6MD*@@**rrhUfe94YGQ==","التشغيل الدوري التقني وحوكمة العمليات","منصة"
"Providing professional services for maintenance, operation and development of the Ithrai platform","Institute of Public Administration","Purchasing management","3500","2025-11-11","2025-11-21",4,"2025-12-15 @ 10:20",28,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=YWziURyK0r8SBVFXp*@@**hXCg==","تقديم خدمات احترافية لصيانة وتشغيل وتطوير منصة إثرائي","منصة"
"Subscribe to the SciVal platform to support research performance and global rankings","Imam Muhammad bin Saud University","General Administration of Purchases and Competitions","1000","2025-11-11","2025-11-21",4,"2025-11-30 @ 09:59",13,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Rye71IyPI0UT*@@**gu%20RDQcgg==","الاشتراك في منصة SciVal لدعم الأداء البحثي والتصنيفات العالمية","منصة"
"Subscribe to a platform for specialized foreign language research databases","Education Evaluation Commission","General Administration of Purchases and Contracts","1000","2025-11-10","2025-11-15",-2,"2025-11-26 @ 09:59",9,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fUD0EXPjgitf0oKb60n*@@**NQ==","الاشتراك في منصة لقواعد المعلومات البحثية باللغة الأجنبية المتخصصة","منصة"
"Operation of the 2025 government press conference phase two","Ministry of Information","General Office - Purchasing Department","1000","2025-11-06","2025-11-16",-1,"2025-11-22 @ 09:59",5,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vdvQd*@@**zhat3vm%20ky*@@**criUw==","تشغيل المؤتمر الصحفي الحكومي لعام 2025 المرحلة الثانية","منصة"
"Operating and supporting the current electronic platform of the Judicial Training Center","Ministry of Justice","General Office - Purchasing and Contracts Department","1000","2025-11-05","2025-11-22",5,"2025-12-06 @ 09:59",19,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=CdvqUTIqUoK8UV0JLj2Xaw==","تشغيل ودعم المنصة الإلكترونية الحالية لمركز التدريب العدلي","منصة"
"National Title Campaign","Saudi Post Corporation","General Administration of Supply Chains","1000","2025-11-05","2025-11-15",-2,"2025-11-21 @ 09:59",4,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=biiq5T75SFpnlVKnAeLgYQ==","الحملة الوطنية للعنوان الوطني","منصة"
"Providing and installing secure communication requirements (Brouk platform) at the General Ports Authority","General Authority of Ports","Purchasing and contracts management","800","2025-11-04","2025-11-24",7,"2025-12-14 @ 09:00",27,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=krTXcaJV0VQoF*@@**lQAPvgIA==","توفير وتركيب متطلبات الاتصال الآمن (منصة بروق) بالهيئة العامة للموانئ","منصة"
"The need to wash items designated for the region’s hospitality and approval to put them on the platform approving the limits of direct purchasing powers.","Border guards","Border Guard Command in Tabuk region","200","2025-11-02","2025-11-12",-5,"2025-11-18 @ 09:59",1,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=R1uFKHt1urZJhW3vhEHYOg==","الحاجة لغسيل أصناف مخصصة لضيافة المنطقة والموافقة لطرحها بمنصة اعتماد حدود صلاحيات الشراء المباشر .","منصة"
"Renewing licenses for the center’s data management and governance platform","National Center for Waste Management","National Center for Waste Management","1000","2025-10-30","2025-11-17",0,"2025-11-23 @ 10:00",6,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FYiDyzQAd2pBS9RoIEz39w==","تجديد رخص منصة إدارة وحوكمة البيانات للمركز","منصة"
"Renewed support on standby environment servers for the litigation platform","Ministry of Justice","General Office - Purchasing and Contracts Department","1000","2025-10-30","2025-11-09",-8,"2025-11-30 @ 09:59",13,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Dd6wUF6xvJCbFruFQFBVlA==","تجديد الدعم على خوادم البيئة الاحتياطية لمنصة تقاضي","منصة"
"Financial and analytical data platform subscription project","National Infrastructure Fund","National Infrastructure Fund","500","2025-10-29","2025-11-17",0,"2025-11-20 @ 12:00",3,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7COUP*@@**WUvAsJmCS6unjdGw==","مشروع اشتراك منصة البيانات المالية والتحليلية","منصة"
"Renewal of the backup system at the National Center for Sustainable Agriculture Research and Development (Estidama)","National Center for Sustainable Agriculture Research and Development","National Center for Sustainable Agriculture Research and Development","2000","2025-10-28","2025-11-19",2,"2025-11-20 @ 13:00",3,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=j0xhuZf2mQx3vJPh0RZO0g==","تجديد نظام النسخ الاحتياطي بالمركز الوطني لأبحاث وتطوير الزراعة المستدامة (استدامة)","منصة"
"Developing and providing technical support to the national communication platform in cases of nuclear and radiation reports","Nuclear and Radiological Regulatory Authority","Nuclear and Radiological Regulatory Authority","5500","2025-10-28","2025-11-13",-4,"2025-11-27 @ 10:00",10,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Zu1rrt8u*@@**LQRKvt03kzQOA==","تطوير و تقديم الدعم الفني للمنصة الوطنية للتواصل في حالات البلاغات النووية والإشعاعية","منصة"
"Subscription to S&P, IHS Markit or equivalent platforms","Saudi Export-Import Bank","Saudi Export-Import Bank (Purchasing and Contracts Department)","500","2025-10-23","2025-11-14",-3,"2025-11-20 @ 10:00",3,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=tDx12HXB9J90EBo2xc5kgw==","اشتراك في منصتي S&P و IHS Markit أو ما يعادلها","منصة"
"Operating, maintaining and developing the training and e-learning platform at the Ministry of Health, the second phase","Ministry of Health General Office","Office of the Ministry, General Administration of Contracts and Procurement","1000","2025-10-21","2025-11-09",-8,"2025-11-20 @ 09:00",3,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=x05*@@**1NmdoJEuBum4oiT%20XA==","تشغيل وصيانة وتطوير منصة التدريب والتعليم الالكتروني بوزارة الصحة المرحلة الثانية","منصة"
"A project to provide and operate the digital system for managing student clubs at King Saud University","King Saud University","General Administration of Purchases","1500","2025-10-21","2025-11-27",10,"2025-12-03 @ 15:00",16,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=On%20t68zSCH7hy%201Z4PLVxQ==","مشروع توفير وتشغيل النظام الرقمي لإدارة الأندية الطلابية بجامعة الملك سعود","منصة"
"Strategy and project management platform","King Saud University","General Administration of Purchases","1500","2025-10-21","2025-11-20",3,"2025-11-24 @ 15:00",7,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=dbyFhmeBmp9rPivctsJSSw==","منصة إدارة الاستراتيجية والمشاريع","منصة"
"Implementing and developing an electronic collection system and a unified platform for notifications","Agricultural Development Fund","Purchasing and contracts management","1500","2025-10-20","2025-11-17",0,"2025-11-19 @ 10:00",2,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1J%20wTlC3NSf*@@**Cz%20V*@@**h4aPA==","تنفيذ وتطوير نظام تحصيل الكتروني ومنصة موحدة للإشعارات","منصة"
"Improving and developing 4 bathrooms in the Western Fleet Command Building at King Faisal Naval Base in Jeddah","Navy","Operation and maintenance center at King Faisal Naval Base in Jeddah","200","2025-11-06","2025-11-16",-1,"2025-11-22 @ 09:59",5,"fleet","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=GNu5fdRIsRARJnXSZD05vA==","تحسين وتطوير عدد 4 دورات مياة بمبنى قيادة الاسطول الغربي بقاعدة الملك فيصل البحرية بجدة","اسطول"
"Maintenance of lighting roads and neighborhoods in Al-Bukayriyah Governorate and its affiliated centers","Al-Bukayriyah Governorate Municipality","Al-Bukayriyah Municipality","5500","2025-11-17","2025-11-27",10,"2025-12-03 @ 09:59",16,"lighting","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fE66YRY2Npp1Vf8Vr8H7Jw==","صيانة انارة طرق واحياء محافظة البكيرية والمراكز التابعة لها","انارة"
"Supplying concrete bases and nails for lighting and decorative poles","Umluj Governorate Municipality","Umluj Governorate Municipality","550","2025-11-05","2025-11-19",2,"2025-11-21 @ 09:59",4,"lighting","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=s7*@@**Wl5ae4gTvIM6b2Pna%20A==","توريد قواعد خرسانية ومسامير للأ عمدة الانارة والديكورية","انارة"
"Maintenance and rehabilitation of lighting on bridges, squares and central islands west of Arar","Northern Border Region Secretariat","Purchasing Department - Secretariat","1000","2025-11-03","2025-11-16",-1,"2025-11-20 @ 09:59",3,"lighting","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=rBUliF2I9vmqkYyHtP*@@**y%20Q==","صيانة واعادة تاهيل انارة الجسور والميادين والجزر الوسطية غرب عرعر","انارة"
"Maintenance and rehabilitation of lighting on bridges, squares and central islands east of Arar","Northern Border Region Secretariat","Purchasing Department - Secretariat","1000","2025-11-03","2025-11-19",2,"2025-11-22 @ 09:59",5,"lighting","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BAJIu%20QQFcsWp1Bs6ydD8g==","صيانة واعادة تاهيل انارة الجسور والميادين والجزر الوسطية شرق عرعر","انارة"
"Rehabilitation of lighting units for bicycle paths and pedestrian paths, and rehabilitation of children’s play areas","General Administration of Jubail Project","Contracts and Procurement Department - Purchasing Department","800","2025-10-22","2025-11-20",3,"2025-11-23 @ 10:00",6,"lighting","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Bx6p34Lv%20raCjCZiGMYhWA==","تأهيل وحدات انارة ممشى الدراجات وممرات المشاة وتأهيل مناطق العاب الأطفال","انارة"
"Improving and rehabilitating the intersections of Prince Mohammed bin Abdulaziz Road in Al-Aflaj","Riyadh Municipality","Aflaj Governorate Municipality","2000","2025-11-06","2025-11-24",7,"2025-11-26 @ 09:59",9,"junction","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4*@@**Yk1AZZa8ckfmfjwd6ijA==","تحسين وتأهيل تقاطعات طريق الأمير محمد بن عبدالعزيز بالأفلاج","تقاطع"
